timestamp_utc,realized_jpy,floating_jpy,equity_jpy,open_count,candidate_realized_jpy,candidate_floating_jpy
2024-12-17 23:45:00+00:00,45813.0,-533.0,1046599.9999999997,2,1319.9999999996273,0.0
2024-12-18 00:00:00+00:00,45813.0,-569.0,1046563.9999999997,2,1319.9999999996273,0.0
2024-12-18 00:15:00+00:00,45813.0,-825.0,1046307.9999999997,2,1319.9999999996273,0.0
2024-12-18 00:30:00+00:00,45813.0,-795.0,1046337.9999999997,2,1319.9999999996273,0.0
2024-12-18 00:45:00+00:00,45813.0,-917.0,1046215.9999999997,2,1319.9999999996273,0.0
2024-12-18 01:00:00+00:00,45538.0,-530.0,1046327.9999999997,1,1319.9999999996273,0.0
2024-12-18 01:15:00+00:00,45538.0,-460.0,1046397.9999999997,1,1319.9999999996273,0.0
2024-12-18 01:30:00+00:00,45538.0,-571.0,1046286.9999999997,1,1319.9999999996273,0.0
2024-12-18 01:45:00+00:00,45538.0,-599.0,1046258.9999999997,1,1319.9999999996273,0.0
2024-12-18 02:00:00+00:00,45538.0,-432.0,1046425.9999999997,1,1319.9999999996273,0.0
2024-12-18 02:15:00+00:00,45538.0,-494.0,1046363.9999999997,1,1319.9999999996273,0.0
2024-12-18 02:30:00+00:00,45538.0,-508.0,1046349.9999999997,1,1319.9999999996273,0.0
2024-12-18 02:45:00+00:00,45110.0,0.0,1046429.9999999997,0,1319.9999999996273,0.0
2024-12-18 13:00:00+00:00,45110.0,-5.0,1046239.9999999997,1,1134.999999999625,0.0
2024-12-18 13:15:00+00:00,45110.0,75.0,1046319.9999999997,1,1134.999999999625,0.0
2024-12-18 13:30:00+00:00,45110.0,77.0,1046321.9999999997,1,1134.999999999625,0.0
2024-12-18 13:45:00+00:00,45110.0,60.0,1046304.9999999997,1,1134.999999999625,0.0
2024-12-18 14:00:00+00:00,45110.0,17.0,1046261.9999999997,1,1134.999999999625,0.0
2024-12-18 14:15:00+00:00,45110.0,-46.0,1046198.9999999997,1,1134.999999999625,0.0
2024-12-18 14:30:00+00:00,45110.0,5.0,1046249.9999999997,1,1134.999999999625,0.0
2024-12-18 14:45:00+00:00,45110.0,-51.0,1046193.9999999997,1,1134.999999999625,0.0
2024-12-18 15:00:00+00:00,45110.0,-50.0,1046194.9999999997,1,1134.999999999625,0.0
2024-12-18 15:15:00+00:00,45110.0,-17.0,1046227.9999999997,1,1134.999999999625,0.0
2024-12-18 15:30:00+00:00,45110.0,38.0,1046282.9999999997,1,1134.999999999625,0.0
2024-12-18 15:45:00+00:00,45110.0,74.0,1046318.9999999997,1,1134.999999999625,0.0
2024-12-18 16:00:00+00:00,45110.0,187.0,1046431.9999999997,2,1134.999999999625,0.0
2024-12-18 16:15:00+00:00,45110.0,210.99999999999997,1046455.9999999997,2,1134.999999999625,0.0
2024-12-18 16:30:00+00:00,45110.0,140.99999999999997,1046385.9999999997,2,1134.999999999625,0.0
2024-12-18 16:45:00+00:00,45110.0,180.99999999999997,1046425.9999999997,2,1134.999999999625,0.0
2024-12-18 17:00:00+00:00,45110.0,149.0,1046393.9999999997,2,1134.999999999625,0.0
2024-12-18 17:15:00+00:00,45110.0,16.999999999999993,1046261.9999999997,2,1134.999999999625,0.0
2024-12-18 17:30:00+00:00,45110.0,-5.0,1046239.9999999997,2,1134.999999999625,0.0
2024-12-18 17:45:00+00:00,45110.0,-265.0,1045979.9999999997,2,1134.999999999625,0.0
2024-12-18 18:00:00+00:00,45110.0,-209.00000000000003,1046035.9999999997,2,1134.999999999625,0.0
2024-12-18 18:15:00+00:00,45110.0,-365.0,1045879.9999999997,2,1134.999999999625,0.0
2024-12-18 18:30:00+00:00,45110.0,-343.0,1045901.9999999997,2,1134.999999999625,0.0
2024-12-18 18:45:00+00:00,45110.0,-357.0,1045887.9999999997,2,1134.999999999625,0.0
2024-12-18 19:00:00+00:00,45110.0,-400.99999999999994,1045843.9999999997,2,1134.999999999625,0.0
2024-12-18 19:15:00+00:00,45110.0,1280.0,1047524.9999999997,3,1134.999999999625,0.0
2024-12-18 19:30:00+00:00,45110.0,581.0,1046825.9999999997,3,1134.999999999625,0.0
2024-12-18 19:45:00+00:00,45110.0,1250.0,1047494.9999999997,3,1134.999999999625,0.0
2024-12-18 20:00:00+00:00,45110.0,1508.0,1047752.9999999997,3,1134.999999999625,0.0
2024-12-18 20:15:00+00:00,45110.0,866.0,1047110.9999999997,3,1134.999999999625,0.0
2024-12-18 20:30:00+00:00,45110.0,1520.0,1047764.9999999997,3,1134.999999999625,0.0
2024-12-18 20:45:00+00:00,45110.0,1541.0,1047785.9999999997,3,1134.999999999625,0.0
2024-12-18 21:00:00+00:00,45110.0,1625.0,1047869.9999999997,3,1134.999999999625,0.0
2024-12-18 21:15:00+00:00,45110.0,1565.0,1047809.9999999997,3,1134.999999999625,0.0
2024-12-18 21:30:00+00:00,45110.0,1619.0,1047863.9999999997,3,1134.999999999625,0.0
2024-12-18 21:45:00+00:00,45110.0,1751.0,1047995.9999999997,3,1134.999999999625,0.0
2024-12-18 22:00:00+00:00,45110.0,1793.0,1048037.9999999997,3,1134.999999999625,0.0
2024-12-18 22:15:00+00:00,45110.0,1862.0,1048106.9999999997,3,1134.999999999625,0.0
2024-12-18 22:30:00+00:00,45110.0,1952.0,1048196.9999999997,3,1134.999999999625,0.0
2024-12-18 22:45:00+00:00,45110.0,1820.0,1048064.9999999997,3,1134.999999999625,0.0
2024-12-18 23:00:00+00:00,45110.0,1772.0,1048016.9999999997,3,1134.999999999625,0.0
2024-12-18 23:15:00+00:00,45110.0,1637.0,1047881.9999999997,3,1134.999999999625,0.0
2024-12-18 23:30:00+00:00,45110.0,1484.0,1047728.9999999997,3,1134.999999999625,0.0
2024-12-18 23:45:00+00:00,45110.0,1256.0,1047500.9999999997,3,1134.999999999625,0.0
2024-12-19 00:00:00+00:00,45747.0,922.0,1047803.9999999997,2,1134.999999999625,0.0
2024-12-19 00:15:00+00:00,45747.0,798.0,1047679.9999999997,2,1134.999999999625,0.0
2024-12-19 00:30:00+00:00,45747.0,1264.0,1048145.9999999997,2,1134.999999999625,0.0
2024-12-19 00:45:00+00:00,45747.0,1290.0,1048171.9999999997,2,1134.999999999625,0.0
2024-12-19 01:00:00+00:00,46741.0,248.0,1048123.9999999997,1,1134.999999999625,0.0
