signal_utc,canonical_side,opportunity_id,raw_side,event_id,schedule_class
2023-07-17 07:30:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-17T07:45:00+00:00|-1,-1.0,RAW|2023-07-17|2023-07-17T07:30:00Z|-1,common_intersection
2023-07-17 12:00:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-17T12:15:00+00:00|1,1.0,RAW|2023-07-17|2023-07-17T12:00:00Z|1,common_intersection
2023-07-18 07:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-18T07:30:00+00:00|1,1.0,RAW|2023-07-18|2023-07-18T07:15:00Z|1,common_intersection
2023-07-18 14:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-18T14:15:00+00:00|-1,-1.0,RAW|2023-07-18|2023-07-18T14:00:00Z|-1,common_intersection
2023-07-19 12:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-19T12:15:00+00:00|-1,-1.0,RAW|2023-07-19|2023-07-19T12:00:00Z|-1,common_intersection
2023-07-20 12:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-20T12:15:00+00:00|-1,-1.0,RAW|2023-07-20|2023-07-20T12:00:00Z|-1,common_intersection
2023-07-21 07:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-21T07:15:00+00:00|-1,-1.0,RAW|2023-07-21|2023-07-21T07:00:00Z|-1,common_intersection
2023-07-24 07:00:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-24T07:15:00+00:00|1,1.0,RAW|2023-07-24|2023-07-24T07:00:00Z|1,common_intersection
2023-07-25 11:15:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-25T11:30:00+00:00|-1,-1.0,RAW|2023-07-25|2023-07-25T11:15:00Z|-1,common_intersection
2023-07-26 16:45:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-26T17:00:00+00:00|1,1.0,RAW|2023-07-26|2023-07-26T16:45:00Z|1,common_intersection
2023-07-27 17:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-27T17:15:00+00:00|-1,-1.0,RAW|2023-07-27|2023-07-27T17:00:00Z|-1,common_intersection
2023-07-28 19:15:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-28T19:30:00+00:00|-1,,,canonical_only
2023-07-31 07:30:00+00:00,,,-1.0,RAW|2023-07-31|2023-07-31T07:30:00Z|-1,raw_only
2023-07-31 08:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-07-31T08:15:00+00:00|-1,,,canonical_only
2023-08-02 09:15:00+00:00,1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-08-02T09:30:00+00:00|1,1.0,RAW|2023-08-02|2023-08-02T09:15:00Z|1,common_intersection
2023-08-02 15:30:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-08-02T15:45:00+00:00|-1,-1.0,RAW|2023-08-02|2023-08-02T15:30:00Z|-1,common_intersection
2023-08-04 12:30:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-08-04T12:45:00+00:00|-1,,,canonical_only
2023-08-07 07:00:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-08-07T07:15:00+00:00|-1,-1.0,RAW|2023-08-07|2023-08-07T07:00:00Z|-1,common_intersection
2023-08-08 18:45:00+00:00,-1.0,2023H2|F_ASIAN_RANGE_SWEEP|2023-08-08T19:00:00+00:00|-1,-1.0,RAW|2023-08-08|2023-08-08T18:45:00Z|-1,common_intersection
