timestamp,timeframe,bucket_start_server,information_time,completed_information_time,close,partial_bar_exclusion,missing_history_flag,source,timezone,future_bar_access,fast_value,slow_value,slope,raw_state,previous_raw_state,state,state_start,state_duration_hours,last_state_change
2024-07-04 00:00:00+00:00,H4,2024-07-04 00:00:00+00:00,2024-07-04 01:00:00+00:00,2024-07-04 01:00:00+00:00,161.439,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.596026296575,161.30168746241705,29.43388341579407,Up,Up,Up,2024-06-13 05:00:00+00:00,500.0,2024-06-13 05:00:00+00:00
2024-07-04 04:00:00+00:00,H4,2024-07-04 04:00:00+00:00,2024-07-04 05:00:00+00:00,2024-07-04 05:00:00+00:00,161.498,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.56801878326786,161.3173924654237,25.062631784416567,Up,Up,Up,2024-06-13 05:00:00+00:00,504.0,2024-06-13 05:00:00+00:00
2024-07-04 08:00:00+00:00,H4,2024-07-04 08:00:00+00:00,2024-07-04 09:00:00+00:00,2024-07-04 09:00:00+00:00,161.243,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.47515627376276,161.3114410681898,16.371520557297004,Up,Up,Up,2024-06-13 05:00:00+00:00,508.0,2024-06-13 05:00:00+00:00
2024-07-04 12:00:00+00:00,H4,2024-07-04 12:00:00+00:00,2024-07-04 13:00:00+00:00,2024-07-04 13:00:00+00:00,161.136,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.37825448125912,161.29740578273461,8.084869852450538,Up,Up,Up,2024-06-13 05:00:00+00:00,512.0,2024-06-13 05:00:00+00:00
2024-07-04 16:00:00+00:00,H4,2024-07-04 16:00:00+00:00,2024-07-04 17:00:00+00:00,2024-07-04 17:00:00+00:00,161.131,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.30761034375652,161.28409332011586,2.3517023640664547,Up,Up,Up,2024-06-13 05:00:00+00:00,516.0,2024-06-13 05:00:00+00:00
2024-07-04 20:00:00+00:00,H4,2024-07-04 20:00:00+00:00,2024-07-04 21:00:00+00:00,2024-07-04 21:00:00+00:00,161.212,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.28029310268323,161.2783258545066,0.19672481766406236,Up,Up,Up,2024-06-13 05:00:00+00:00,520.0,2024-06-13 05:00:00+00:00
2024-07-05 00:00:00+00:00,H4,2024-07-05 00:00:00+00:00,2024-07-05 01:00:00+00:00,2024-07-05 01:00:00+00:00,161.073,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.2210665019166,161.26189978614607,-4.0833284229478295,Down,Up,Transition,2024-07-05 01:00:00+00:00,0.0,2024-07-05 01:00:00+00:00
2024-07-05 04:00:00+00:00,H4,2024-07-05 04:00:00+00:00,2024-07-05 05:00:00+00:00,2024-07-05 05:00:00+00:00,160.643,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.05590464422613,161.2123878032544,-15.648315902825516,Down,Down,Down,2024-07-05 01:00:00+00:00,4.0,2024-07-05 01:00:00+00:00
2024-07-05 08:00:00+00:00,H4,2024-07-05 08:00:00+00:00,2024-07-05 09:00:00+00:00,2024-07-05 09:00:00+00:00,160.737,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.9647890315901,161.17435677899405,-20.95677474039519,Down,Down,Down,2024-07-05 01:00:00+00:00,8.0,2024-07-05 01:00:00+00:00
2024-07-05 12:00:00+00:00,H4,2024-07-05 12:00:00+00:00,2024-07-05 13:00:00+00:00,2024-07-05 13:00:00+00:00,160.942,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.95827787970723,161.15576823667453,-19.749035696730743,Down,Down,Down,2024-07-05 01:00:00+00:00,12.0,2024-07-05 01:00:00+00:00
2024-07-05 16:00:00+00:00,H4,2024-07-05 16:00:00+00:00,2024-07-05 17:00:00+00:00,2024-07-05 17:00:00+00:00,160.885,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.937341342648,161.13410677774058,-19.67654350925727,Down,Down,Down,2024-07-05 01:00:00+00:00,16.0,2024-07-05 01:00:00+00:00
2024-07-05 20:00:00+00:00,H4,2024-07-05 20:00:00+00:00,2024-07-05 21:00:00+00:00,2024-07-05 21:00:00+00:00,160.719,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.87495810189142,161.10089823552133,-22.594013362990495,Down,Down,Down,2024-07-05 01:00:00+00:00,20.0,2024-07-05 01:00:00+00:00
2024-07-08 00:00:00+00:00,H4,2024-07-08 00:00:00+00:00,2024-07-08 01:00:00+00:00,2024-07-08 01:00:00+00:00,160.61,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.7992557870653,161.06162637667964,-26.23705896143349,Down,Down,Down,2024-07-05 01:00:00+00:00,72.0,2024-07-05 01:00:00+00:00
2024-07-08 04:00:00+00:00,H4,2024-07-08 04:00:00+00:00,2024-07-08 05:00:00+00:00,2024-07-08 05:00:00+00:00,160.538,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.72461127647523,161.01973626654527,-29.512499007003612,Down,Down,Down,2024-07-05 01:00:00+00:00,76.0,2024-07-05 01:00:00+00:00
2024-07-08 08:00:00+00:00,H4,2024-07-08 08:00:00+00:00,2024-07-08 09:00:00+00:00,2024-07-08 09:00:00+00:00,161.091,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.82929376891087,161.02543736522165,-19.614359631077605,Down,Down,Down,2024-07-05 01:00:00+00:00,80.0,2024-07-05 01:00:00+00:00
2024-07-08 12:00:00+00:00,H4,2024-07-08 12:00:00+00:00,2024-07-08 13:00:00+00:00,2024-07-08 13:00:00+00:00,160.689,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.78920983493634,160.99852237600393,-20.931254106758956,Down,Down,Down,2024-07-05 01:00:00+00:00,84.0,2024-07-05 01:00:00+00:00
2024-07-08 16:00:00+00:00,H4,2024-07-08 16:00:00+00:00,2024-07-08 17:00:00+00:00,2024-07-08 17:00:00+00:00,160.729,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.77200702495452,160.97696058592362,-20.4953560969102,Down,Down,Down,2024-07-05 01:00:00+00:00,88.0,2024-07-05 01:00:00+00:00
2024-07-08 20:00:00+00:00,H4,2024-07-08 20:00:00+00:00,2024-07-08 21:00:00+00:00,2024-07-08 21:00:00+00:00,160.796,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.7788621606818,160.96248373904973,-18.362157836793358,Down,Down,Down,2024-07-05 01:00:00+00:00,92.0,2024-07-05 01:00:00+00:00
2024-07-09 00:00:00+00:00,H4,2024-07-09 00:00:00+00:00,2024-07-09 01:00:00+00:00,2024-07-09 01:00:00+00:00,160.892,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.81118725762985,160.95684503992578,-14.565778229592752,Down,Down,Down,2024-07-05 01:00:00+00:00,96.0,2024-07-05 01:00:00+00:00
2024-07-09 04:00:00+00:00,H4,2024-07-09 04:00:00+00:00,2024-07-09 05:00:00+00:00,2024-07-09 05:00:00+00:00,160.96,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.85370518402132,160.95709743673171,-10.339225271039254,Down,Down,Down,2024-07-05 01:00:00+00:00,100.0,2024-07-05 01:00:00+00:00
