fold,h1_state,h4_state,session,side,trades,net_jpy,pf,mean_shock_magnitude_pips,mean_shock_ratio,mean_shock_duration_bars,mean_failure_delay_bars,mean_atr14_pips,mean_directional_persistence_4h,mean_directional_autocorr_24h,mean_time_since_previous_shock_minutes,mean_shock_count_prior_24h,mean_shock_count_prior_7d,mean_time_to_profit_minutes,mean_time_to_mfe_minutes,mean_mfe_pips,mean_mae_pips
2024H1,UP,UP,TOKYO,SHORT,2,12.000000000000462,1.266666666666751,14.350000000000307,3.130744336569156,3.5,1.0,5.9678571428569125,0.1875,-0.1481140558861534,2640.0,4.5,28.5,,,11.349999999998772,-10.600000000000875
2024H2,DOWN,DOWN,LONDON,LONG,2,-218.9999999999941,0.31132075471696424,52.79999999999916,4.191173920582628,5.0,1.0,19.742857142857314,0.25,0.12478662460782315,525.0,3.5,21.5,,,10.649999999999691,-48.0000000000004
2024H2,DOWN,DOWN,LONDON,SHORT,1,453.9999999999793,,30.299999999999727,2.742081447964084,2.0,1.0,19.478571428571456,0.125,-0.1754459362504355,45.0,5.0,28.0,,,58.89999999999986,-36.70000000000186
2024H2,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,2,322.00000000000273,,24.500000000000455,3.0846322503487396,3.0,1.0,14.089285714285792,0.25,0.0325097705707243,67.5,4.0,19.0,,,22.749999999999204,-10.250000000000625
2024H2,DOWN,DOWN,LONDON_NY_OVERLAP,SHORT,1,1140.0000000000148,,52.89999999999964,2.8986301369862093,2.0,1.0,34.38571428571464,0.0,-0.1133599431256389,15.0,2.0,21.0,,,123.90000000000045,-0.4999999999995452
2024H2,DOWN,DOWN,TOKYO,LONG,2,2009.0000000000146,,34.39999999999941,3.0124538745386835,3.0,1.0,14.642857142856716,0.25,0.01650228445787685,30.0,18.5,50.0,,,105.50000000000068,-14.95000000000033
2024H2,DOWN,DOWN,TRANSITION,SHORT,1,-1231.999999999999,0.0,15.700000000001069,2.512000000000742,2.0,1.0,10.464285714285738,0.5,0.049282245524881,60.0,19.0,42.0,,,3.099999999997749,-139.9000000000001
2024H2,DOWN,UP,LONDON,LONG,1,-134.00000000001455,0.0,20.09999999999934,2.697986577181103,2.0,1.0,12.64285714285742,0.5,0.0304398825456045,780.0,3.0,16.0,,,4.200000000000159,-31.499999999999773
2024H2,DOWN,UP,LONDON_NY_OVERLAP,LONG,2,156.99999999998226,,29.000000000002043,3.2560292567209377,2.0,1.0,12.503571428571444,0.125,-0.11128662209807699,862.5,2.0,24.0,,,21.25000000000057,-17.049999999998988
2024H2,DOWN,UP,LONDON_NY_OVERLAP,SHORT,1,-213.00000000002228,0.0,29.30000000000064,3.084210526315893,2.0,1.0,29.278571428571357,0.0,0.0318781228290317,15.0,7.0,16.0,,,26.899999999997704,-25.200000000000955
2024H2,UP,DOWN,LONDON_NY_OVERLAP,LONG,2,756.9999999999766,,37.299999999999045,3.0185828284321685,3.5,1.0,23.81428571428594,0.0625,0.1388519831315477,187.5,8.0,33.5,,,63.50000000000051,-4.699999999999704
2024H2,UP,DOWN,LONDON_NY_OVERLAP,SHORT,3,2307.9999999999927,,45.46666666666681,3.637617507801623,3.0,1.0,28.7047619047618,0.4166666666666667,0.007158511934793869,35.0,7.0,26.666666666666668,,,99.06666666666695,-6.93333333333328
2024H2,UP,DOWN,TOKYO,SHORT,2,2483.99999999998,5.03902439024381,43.0000000000021,2.8162291684658207,5.0,1.0,18.832142857142948,0.25,0.1695515365716038,1657.5,3.0,17.0,,,177.04999999999984,-36.89999999999998
2024H2,UP,UP,LONDON,LONG,1,-100.99999999999908,0.0,34.600000000000364,2.6015037593983323,3.0,1.0,31.900000000000464,0.125,0.3030199428192223,30.0,29.0,46.0,,,17.899999999997362,-25.200000000000955
2024H2,UP,UP,LONDON_NY_OVERLAP,LONG,1,467.9999999999893,,30.000000000001137,3.141361256545048,2.0,1.0,15.800000000000123,0.125,-0.1408969901160301,90.0,2.0,8.0,,,50.99999999999909,-18.39999999999975
2024H2,UP,UP,LONDON_NY_OVERLAP,SHORT,2,-127.00000000000955,0.43805309734508824,32.04999999999956,2.8767338767337574,1.5,1.0,20.117857142857382,0.0625,0.13546816716476984,15.0,4.5,12.5,,,26.850000000000307,-21.999999999999886
2024H2,UP,UP,NEW_YORK,LONG,1,158.9999999999918,,32.099999999999795,3.798816568047701,1.0,1.0,16.0500000000001,0.125,-0.2518348812414884,15.0,1.0,8.0,,,20.699999999999363,-24.100000000001387
2024H2,UP,UP,TOKYO,LONG,1,-117.00000000001864,0.0,44.99999999999886,2.719033232628421,2.0,1.0,15.33571428571402,0.25,0.0294131960647431,660.0,7.0,30.0,,,9.199999999998454,-22.700000000000387
2024H2,UP,UP,TOKYO,SHORT,2,119.99999999997613,,26.250000000000284,3.8755147291735135,1.0,1.0,7.899999999999758,0.0,-0.10861742802999755,210.0,2.5,13.5,,,19.249999999998124,-7.150000000001455
