dimension,value,side,trades,net_jpy,pf,mdd_jpy,win_rate,median_jpy,positive_folds,positive_months,minimum_fold_net_jpy,median_mae_pips,median_mfe_pips,reclaim_rate,bootstrap_lower95_jpy
D1_state,Transition,LONG,10,3143.0000000000005,7.847494553376862,335.9999999999843,0.7,134.50000000000273,4,7,219.99999999999886,-9.900000000001796,42.349999999999,1.0,282.05000000007277
D1_state,Up,LONG,162,3227.0000000003165,1.2055152209909756,4254.000000000047,0.5370370370370371,15.000000000000568,3,13,-2736.9999999999663,-13.750000000000284,15.449999999999875,1.0,-4483.149999999768
D1_state,Down,SHORT,79,-2304.000000000002,0.827299302900832,3719.999999999942,0.4936708860759494,-7.000000000005002,1,6,-1222.9999999999563,-21.999999999999886,21.20000000000175,1.0,-10363.925000000056
D1_state,Neutral,SHORT,15,1027.9999999999632,1.9990281827015646,510.0000000000193,0.5333333333333333,4.000000000019099,1,2,1027.9999999999632,-21.000000000000796,25.99999999999909,1.0,-870.2000000000886
D1_state,Transition,SHORT,6,987.9999999999711,6.458563535910236,134.00000000001455,0.6666666666666666,91.99999999999875,3,4,-134.00000000001455,-10.80000000000041,27.44999999999891,1.0,-174.0500000000921
D1_state,Up,SHORT,206,-8254.000000000218,0.6335464393535691,9121.000000000182,0.38349514563106796,-27.000000000015234,0,6,-2985.000000000042,-15.399999999999636,11.45000000000067,1.0,-15452.64999999995
reclaim_class,RECLAIM,LONG,241,13650.000000000346,1.5955237555080637,2916.0000000000537,0.5601659751037344,28.999999999996362,4,21,2275.000000000119,-15.100000000001046,18.500000000000227,1.0,2945.3750000005507
reclaim_class,RECLAIM,SHORT,306,-8542.000000000287,0.7696021577882601,10529.0000000002,0.42483660130718953,-21.499999999988972,0,10,-3933.000000000021,-16.70000000000016,13.900000000001,1.0,-18573.750000000127
both_side,SINGLE_SIDE,LONG,241,13650.000000000346,1.5955237555080637,2916.0000000000537,0.5601659751037344,28.999999999996362,4,21,2275.000000000119,-15.100000000001046,18.500000000000227,1.0,3896.175000000808
both_side,SINGLE_SIDE,SHORT,306,-8542.000000000287,0.7696021577882601,10529.0000000002,0.42483660130718953,-21.499999999988972,0,10,-3933.000000000021,-16.70000000000016,13.900000000001,1.0,-18772.225000000388
