candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,24,110,03031bcfe43ea4106acc02186e02b958fad3a2709348dcb24edaf7dfac44fd4e
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,32,110,523bab9452f119a0859408c227f8780278477a0cb4f88bb6fc73fb19733bb0cd
R1B01_legacy_asia_00_06_breakout,session_range_breakout,96d816867f533f662767993b0f291703751bb08ed7289abc76b46e6248c4cdf1,48,108,2baf8e1626039a3b8a127581cfc8def2aa6e40913dd46f25c465a4e50a5c5e42
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,1,99,31eb662fd0ae711248e5f8a6e5261daf2cb73b5a107b7f919e714d96befa6fcf
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,2,99,391cbc05ee16cab65ec9f5cb62d2b09556d6c01f3e628c484224ff49de3d8e49
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,3,99,466ff6ee92ec31aa366b80e9de84ca2a68ae730d3bf51ea5eae45482f2ae1808
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,4,99,499138ba8d3e53c1cd8992b477f3617fec7ee26926ca763ff7415d6ee2118dd0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,6,99,77355464aa151fe712b2f7dcdb0bcc7905eeee15f6305a49a60b95a865d1ca82
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,8,99,748a49439e366a713f48a8f8f94be8a5345bde83e4b9ab51c99b0a31171145a3
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,12,99,c87fb8df7f6e5fa11012f0609625354c51da85ae95c57d15b1e556bcc54dd78e
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,16,99,aae91cdf455539deff43b1cf6581084a87bbc7b1bd036b33bdfd91d408c8866e
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,24,99,bd2f4a7cad2d55eb2cec7d3d3cd54c59eaa7e2a02e81a320d87d9d06d7796085
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,32,99,451fe78db5216293baa5345ae6674e0f4c54f1c0f15775a4739ed5763cbece91
R1B02_legacy_asia_00_07_breakout,session_range_breakout,b9abb7ac1a44d270dbee702758652a023dff24407d4764f7ac03547bb7aa7990,48,97,7d00b2c3ed94ab7f91b2cbde1c164eb21db5999097b33fe6ec2259900f2f86db
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,1,94,1e65d0f82be5ec3fafce706367e845ac613cf6091924d1f60aadda573af00e48
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,2,94,8068d9141fbe4270b2aab94b97c5411424876762109b91cabf8d386215c7b497
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,3,94,3a39906c3f18f5c774a925a4792511f9d1975e7e1c340f125d33ba0ace7d4b5e
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,4,94,9bc26a2aaceeb74abd1848a99a70ffda75606e9d9c0b9ea52a54b02ded4274ad
R1B03_legacy_prior_day_breakout,session_range_breakout,629259b0868387914f65e82102137e324dc606d76e149c70d1bb7b3614c15a14,6,94,232660a6dbdf61ebff71919eb8c319611eeba23b9323e7e959255054909aa960
